study_name,job_hash,dataset,model,training_variant,evaluation_variant,evaluation_tier,seed,epochs,scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,all,all,400,200,200,False,-3.1121324,calibration,0.539,0.484724,0.597708,0.516895,0.0,0.01,0.035,0.85,0.89,0.93,0.5075,0.5075,0.5,0.520548,0.19,0.278388,0.019417,0.078,0.314202,0.220602,3.466857,38.097438,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,gender,G0,200,100,100,False,-3.07696039,calibration,0.5171,0.428527,0.580982,0.51506,0.02,0.02,0.03,0.88,0.89,0.91,0.5,0.5,0.5,0.5,0.2,0.285714,0.0,0.0342,0.325578,0.231206,3.444322,38.161321,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,gender,G1,200,100,100,False,-3.1121324,calibration,0.5642,0.47166,0.636598,0.535135,0.0,0.0,0.03,0.8,0.83,0.95,0.515,0.515,0.5,0.545455,0.18,0.270677,0.040412,0.1284,0.30191,0.241206,3.489393,38.033555,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,language,ar,100,50,50,False,-1.78040338,calibration,0.5808,0.469722,0.720392,0.548644,0.0,0.0,0.06,0.8,0.84,0.94,0.49,0.49,0.5,0.461538,0.12,0.190476,-0.029735,0.1616,0.294209,0.212323,3.281226,38.203225,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,language,en,100,50,50,False,-3.59316475,calibration,0.5704,0.46,0.689935,0.548738,0.02,0.02,0.04,0.78,0.82,0.9,0.55,0.55,0.5,0.560976,0.46,0.505495,0.10166,0.1408,0.299461,0.202424,3.690566,43.910537,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,language,es,100,50,50,False,-3.10713541,calibration,0.4964,0.395425,0.598765,0.520711,0.0,0.0,0.02,0.94,0.96,0.98,0.56,0.56,0.5,0.65,0.26,0.371429,0.15,-0.0072,0.336835,0.302222,3.456451,34.707618,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,language,pt,100,50,50,False,-3.22159965,calibration,0.5184,0.408195,0.66087,0.495817,0.0,0.0,0.02,0.9,0.96,0.98,0.46,0.46,0.5,0.416667,0.2,0.27027,-0.093659,0.0368,0.325724,0.241818,3.439186,35.568369,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,argentina,16,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,australia,16,6,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,brazil,56,29,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,canada,20,10,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,chile,16,6,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,colombia,10,8,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,egypt,26,11,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,great britain,23,8,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,gulf,28,14,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,ireland,17,13,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,levantine,25,12,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,maghrebi,21,13,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,mexico,16,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,new zealand,15,10,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,peru,14,9,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,portugal,44,21,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,spain,21,7,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,united states,9,3,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,venezuela,7,4,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,gender_language,G0|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,gender_language,G0|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,gender_language,G0|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,gender_language,G0|pt,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,gender_language,G1|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,gender_language,G1|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,gender_language,G1|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,gender_language,G1|pt,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,language_summary,summary:language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.5415,0.4964,0.0844,0.854683
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,gender_gap,gap:G0-G1,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0471,0.54065,0.5171,0.0471,0.916519
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,all,all,400,200,200,False,-8.20833333,calibration,0.513525,0.463701,0.568382,0.513294,0.0,0.015,0.03,0.9,0.925,0.965,0.49,0.49,0.5,0.488235,0.415,0.448649,-0.020229,0.02705,0.327059,0.255627,3.466857,38.097438,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,gender,G0,200,100,100,False,-8.45404412,calibration,0.4922,0.394637,0.559552,0.518135,0.02,0.02,0.04,0.97,0.98,0.99,0.515,0.515,0.5,0.513043,0.59,0.548837,0.030343,-0.0156,0.338191,0.241256,3.444322,38.161321,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,gender,G1,200,100,100,False,-7.9932598,calibration,0.5315,0.462547,0.598352,0.517108,0.0,0.0,0.02,0.82,0.84,0.9,0.51,0.51,0.5,0.516129,0.32,0.395062,0.021622,0.063,0.318442,0.271256,3.489393,38.033555,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,language,ar,100,50,50,False,-5.72610294,calibration,0.5324,0.444217,0.655556,0.522608,0.0,0.0,0.08,0.74,0.82,1.0,0.5,0.5,0.5,0.5,0.08,0.137931,0.0,0.0648,0.318653,0.272525,3.281226,38.203225,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,language,en,100,50,50,False,-8.21752451,calibration,0.481,0.371337,0.596899,0.481889,0.02,0.02,0.02,0.78,0.8,0.98,0.41,0.41,0.5,0.263158,0.1,0.144928,-0.229416,-0.038,0.344714,0.291717,3.690566,43.910537,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,language,es,100,50,50,False,-8.19914216,calibration,0.534,0.432598,0.631373,0.601424,0.12,0.12,0.12,0.96,0.98,1.0,0.52,0.52,0.5,0.525,0.42,0.466667,0.040825,0.068,0.317845,0.241818,3.456451,34.707618,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,language,pt,100,50,50,False,-7.52205882,calibration,0.5124,0.400385,0.658588,0.513824,0.0,0.0,0.0,0.86,0.88,0.94,0.52,0.52,0.5,0.571429,0.16,0.25,0.057639,0.0248,0.328754,0.292525,3.439186,35.568369,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,argentina,16,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,australia,16,6,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,brazil,56,29,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,canada,20,10,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,chile,16,6,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,colombia,10,8,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,egypt,26,11,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,great britain,23,8,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,gulf,28,14,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,ireland,17,13,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,levantine,25,12,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,maghrebi,21,13,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,mexico,16,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,new zealand,15,10,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,peru,14,9,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,portugal,44,21,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,spain,21,7,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,united states,9,3,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,variety,venezuela,7,4,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,gender_language,G0|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,gender_language,G0|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,gender_language,G0|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,gender_language,G0|pt,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,gender_language,G1|ar,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,gender_language,G1|en,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,gender_language,G1|es,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,gender_language,G1|pt,50,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,language_summary,summary:language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.51495,0.481,0.053,0.900749
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,gender_gap,gap:G0-G1,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0393,0.51185,0.4922,0.0393,0.926058
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,all,all,400,200,200,False,0.191343,calibration,0.535875,0.479634,0.594818,0.533123,0.005,0.03,0.06,0.845,0.94,0.98,0.5075,0.5075,0.5,0.588235,0.05,0.092166,0.037179,0.07175,0.315769,0.240602,3.466857,38.097438,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,gender,G0,200,100,100,False,0.14240777,calibration,0.5443,0.455724,0.603243,0.561859,0.04,0.05,0.09,0.84,0.92,0.98,0.505,0.505,0.5,0.517241,0.15,0.232558,0.0142,0.0886,0.31191,0.261206,3.444322,38.161321,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,gender,G1,200,100,100,False,0.11186404,calibration,0.5266,0.439278,0.609359,0.516431,0.0,0.01,0.03,0.87,0.94,0.99,0.505,0.505,0.5,0.510638,0.24,0.326531,0.011792,0.0532,0.320804,0.231256,3.489393,38.033555,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,language,ar,100,50,50,False,0.0309315,calibration,0.4588,0.353306,0.554321,0.511652,0.02,0.02,0.08,0.92,0.98,0.98,0.47,0.47,0.5,0.478873,0.68,0.561983,-0.066114,-0.0824,0.355825,0.332525,3.281226,38.203225,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,language,en,100,50,50,False,0.07209231,calibration,0.5532,0.442268,0.655,0.574199,0.02,0.02,0.1,0.86,0.92,0.94,0.55,0.55,0.5,0.553191,0.52,0.536082,0.10018,0.1064,0.308148,0.242424,3.690566,43.910537,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,language,es,100,50,50,False,0.15181048,calibration,0.6236,0.546311,0.727235,0.606105,0.04,0.04,0.1,0.8,0.82,0.82,0.53,0.53,0.5,0.615385,0.16,0.253968,0.089205,0.2472,0.272593,0.181616,3.456451,34.707618,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,language,pt,100,50,50,False,0.12860082,calibration,0.5036,0.371429,0.57417,0.509234,0.02,0.02,0.02,0.82,0.86,0.96,0.49,0.49,0.5,0.473684,0.18,0.26087,-0.025491,0.0072,0.333199,0.272323,3.439186,35.568369,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,variety,argentina,16,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,variety,australia,16,6,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,variety,brazil,56,29,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,variety,canada,20,10,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,variety,chile,16,6,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,variety,colombia,10,8,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,variety,egypt,26,11,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,variety,great britain,23,8,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,variety,gulf,28,14,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,variety,ireland,17,13,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,variety,levantine,25,12,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,variety,maghrebi,21,13,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,variety,mexico,16,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
